"K","gamma","term","estimate"
2,0,"condin vivo",4.21191
2,1,"ns1:condin vivo",-26.29418
2,2,"ns2:condin vivo",25.57092
3,0,"condin vivo",2.96209
3,1,"ns1:condin vivo",-14.32552
3,2,"ns2:condin vivo",-11.49607
3,3,"ns3:condin vivo",30.14924
4,0,"condin vivo",-2.47059
4,1,"ns1:condin vivo",-18.1601
4,2,"ns2:condin vivo",0.76987
4,3,"ns3:condin vivo",-1.14072
4,4,"ns4:condin vivo",15.51818
5,0,"condin vivo",-4.11485
5,1,"ns1:condin vivo",-13.74971
5,2,"ns2:condin vivo",-12.25488
5,3,"ns3:condin vivo",5.06611
5,4,"ns4:condin vivo",0.79307
5,5,"ns5:condin vivo",6.6755
